Video ID,Playlist Video Creation Timestamp
hokGXqEsCXk,2020-04-17T19:21:12+00:00
zrProK5R7ms,2020-04-17T19:22:32+00:00
P_4uEaZQ2Kg,2020-04-17T19:29:15+00:00
y-E7_VHLvkE,2020-04-17T19:29:34+00:00
ikDEHygZzlI,2020-04-17T19:30:57+00:00
X0kRSGTfmzA,2020-04-17T19:35:19+00:00
76hloAeSvSQ,2020-04-17T19:38:11+00:00
Gxhc6OxF-_Q,2020-04-17T19:39:34+00:00
kM_sPPkp4jQ,2020-04-17T19:40:53+00:00
oFkzZHIcgFs,2020-04-17T19:41:22+00:00
NfwZfGAKyec,2020-04-17T19:42:01+00:00
9BlGnzGICNQ,2020-04-17T19:42:12+00:00
hW_WLxseq0o,2020-04-17T19:42:39+00:00
PD-MdiUm1_Y,2020-04-17T19:43:05+00:00
Jm0psINp6VE,2020-04-17T23:03:21+00:00
NGzYWDZD4gI,2020-04-17T23:03:33+00:00
 -omUWBI--4w,2020-04-17T23:03:49+00:00
AwOLjPcFyYQ,2020-04-17T23:03:59+00:00
eiEZZuQTG1w,2020-04-17T23:04:06+00:00
jNr4Urc_erw,2020-04-17T23:04:12+00:00
NGzYWDZD4gI,2020-04-17T23:04:22+00:00
4yu7PFu36-o,2020-04-17T23:04:30+00:00
1kcoOF7_mfU,2020-04-26T22:05:16+00:00
E0jfBKAPz_4,2020-04-26T22:07:56+00:00
xf_NpgbNSTY,2020-04-26T22:12:00+00:00
ktDsE09W2Rk,2020-04-26T22:12:14+00:00
eO66668JHtA,2020-04-26T22:12:37+00:00
YRRNu1CD4AM,2020-04-26T22:12:56+00:00
1mz43B4cK1I,2020-05-05T17:31:21+00:00
22FCSMEUGcM,2020-05-05T17:32:07+00:00
Z5AxkUe03GM,2020-05-10T17:19:00+00:00
VnCvS2A7REo,2020-05-10T17:19:42+00:00
YDgqP_4Q_fM,2020-05-10T23:41:05+00:00
Z18E_kfAJ5Y,2020-05-19T19:35:16+00:00
v72W-S-hMsk,2020-05-27T16:37:12+00:00
