Video ID,Playlist Video Creation Timestamp
q8aaDzVwyNM,2016-05-28T00:10:14+00:00
3cxgY0UYo0A,2016-05-28T00:11:16+00:00
M0LMMfbdAEE,2016-06-13T14:52:55+00:00
HzzRvhY5VW0,2016-11-14T00:54:12+00:00
m92FGd4tAhY,2016-11-14T00:54:31+00:00
KkB8OoTLFbo,2016-11-14T00:55:23+00:00
ldiZ1pNA7us,2016-11-14T00:56:00+00:00
VS-XBSnTF-s,2016-11-14T00:56:26+00:00
pP31ZOhwjKQ,2016-11-14T00:56:55+00:00
hdIUu_NQJ-o,2016-11-14T19:44:59+00:00
GEPbDJ_6aBM,2016-11-17T20:30:13+00:00
EdsF4JdysHI,2017-02-22T18:00:36+00:00
KkB8OoTLFbo,2017-03-12T17:41:53+00:00
8-JdwyQ6itM,2017-03-12T17:42:34+00:00
IWQFZ7Lx-rg,2017-03-12T17:42:47+00:00
78tLB92KrLc,2017-03-12T17:43:03+00:00
z_bXHbUqOd0,2017-03-12T17:43:41+00:00
OekWK7LorMw,2017-03-12T18:50:36+00:00
g_C7lpzwba0,2017-03-12T18:50:46+00:00
q8aaDzVwyNM,2017-03-12T18:51:01+00:00
GEPbDJ_6aBM,2017-03-12T18:51:13+00:00
HzzRvhY5VW0,2017-03-12T18:51:27+00:00
C9AQiF5fFFI,2017-03-12T22:38:22+00:00
N1QGz6n6wdA,2017-03-12T22:38:45+00:00
AFpSbAzhgdg,2017-03-12T22:39:08+00:00
CDNDgcHcD04,2017-03-12T22:39:49+00:00
q8aaDzVwyNM,2017-03-12T22:40:00+00:00
G1yLgdzAbXQ,2017-03-12T22:41:01+00:00
oktHSQTUbGE,2017-03-12T22:41:18+00:00
U90Fnv_FpM4,2017-03-12T22:41:33+00:00
LKsKOpNq7og,2017-03-12T22:41:41+00:00
JrbHay0AzXI,2017-03-12T22:41:51+00:00
z_bXHbUqOd0,2017-03-12T22:42:01+00:00
Ma3UeNWHdWQ,2017-03-12T22:42:31+00:00
QccXzR_TPdo,2017-03-12T22:42:42+00:00
Qv5dv3bO_Ko,2017-03-12T22:42:51+00:00
gELJdIa3zkM,2017-03-12T22:43:19+00:00
t0yoc66_bb4,2017-03-12T22:43:41+00:00
R_8hi7OQg0E,2017-03-12T22:44:49+00:00
