Video ID,Playlist Video Creation Timestamp
z5rRZdiu1UE,2020-04-17T21:12:14+00:00
qORYO0atB6g,2020-04-17T21:12:33+00:00
ru3gH27Fn6E,2020-04-17T21:12:49+00:00
JhqyZeUlE8U,2020-04-17T21:12:55+00:00
uvRBUw_Ls2o,2020-04-17T21:13:01+00:00
Xf1YF_MH1xc,2020-04-17T21:13:11+00:00
XflfiylNNXY,2020-04-17T21:14:15+00:00
BptQHAW2T5M,2020-04-17T21:14:28+00:00
JkeE2O15RFs,2020-04-17T21:15:01+00:00
WdgLMslbDuY,2020-04-17T21:21:34+00:00
Naf5uJYGoiU,2020-04-17T21:33:18+00:00
aGSKrC7dGcY,2020-04-17T21:33:45+00:00
kemivUKb4f4,2020-04-17T21:34:45+00:00
PHzOOQfhPFg,2020-04-17T21:35:09+00:00
ojC0mg2hJCc,2020-04-17T21:38:00+00:00
UFX3gQHIroU,2020-04-17T21:38:26+00:00
IVF0zcqr9Dg,2020-04-17T21:39:02+00:00
1w7OgIMMRc4,2020-04-17T21:39:11+00:00
Rbm6GXllBiw,2020-04-17T21:39:16+00:00
HlEuo9aR7Qo,2020-04-17T21:39:31+00:00
CdqoNKCCt7A,2020-04-17T21:39:53+00:00
OMOGaugKpzs,2020-04-17T21:41:25+00:00
KNIZofPB8ZM,2020-04-17T21:41:38+00:00
zPwMdZOlPo8,2020-04-17T21:41:54+00:00
MX6MvV8cbh8,2020-04-17T21:42:07+00:00
aENX1Sf3fgQ,2020-04-17T21:42:16+00:00
7v2GDbEmjGE,2020-04-17T21:42:25+00:00
wBl2QGAIx1s,2020-04-17T21:43:12+00:00
AaTQAaJWW54,2020-04-17T21:43:30+00:00
em8JuUW-OOE,2020-04-17T21:43:52+00:00
aGCdLKXNF3w,2020-04-17T21:44:50+00:00
oxHoLtrGNCA,2020-04-17T21:45:36+00:00
72D3dPnjtcI,2020-04-17T21:45:54+00:00
ht672-wYelc,2020-04-17T21:46:52+00:00
dKJLbv5khLg,2020-04-17T21:48:29+00:00





