Video ID,Playlist Video Creation Timestamp
HEDaocPdDQk,2020-03-16T19:29:51+00:00
yawlXIEn9ic,2020-03-16T19:30:22+00:00
37wRZI5prTQ,2020-03-16T19:30:52+00:00
jfPGwJZ9-1g,2020-03-16T19:31:18+00:00
JafwaVjeEZg,2020-03-16T19:31:33+00:00
kt2jMlwlGHI,2020-03-16T19:32:47+00:00
SSHw2F10GvY,2020-03-16T19:33:00+00:00
xIg9c8Ud7dA,2020-03-16T19:33:12+00:00
x_ZSKD0wNWk,2020-03-16T19:33:24+00:00
p0d1NKyqEpQ,2020-03-16T19:33:40+00:00
25op-oje11E,2020-03-16T19:33:50+00:00
TE5qSJe7s4A,2020-03-16T19:34:12+00:00
jvARAHppiw4,2020-03-16T19:34:22+00:00
G9CVrB8zNXg,2020-03-16T19:34:42+00:00
zLo8uZznm3E,2020-03-16T19:35:21+00:00
jJ6Z8jn-BQQ,2020-03-18T03:34:44+00:00
VtunHq1qTGc,2020-03-29T14:31:40+00:00
I4eqWswenGk,2020-03-29T14:31:58+00:00
h0kXfPrHHcw,2020-03-29T14:32:40+00:00
xf_NpgbNSTY,2020-04-05T04:30:00+00:00
Xe2u7ogAgtQ,2020-04-05T21:32:12+00:00
_EhrB95mWOw,2020-04-05T21:33:31+00:00
XI_lik00SMI,2020-04-05T21:33:45+00:00
6GkdCiqsFUI,2020-04-05T21:33:58+00:00
lCdXyj57HO0,2020-04-05T21:34:24+00:00
OqFVp26t12I,2020-04-05T21:35:15+00:00
so4NRN3I_2I,2020-04-05T21:36:00+00:00
mrjxT2urXaU,2020-04-05T21:36:16+00:00
IsHVqO2X-nQ,2020-04-05T21:36:35+00:00
zGfFUsAQaYE,2020-04-05T21:36:48+00:00
NwgEELSShrU,2020-04-05T21:36:58+00:00
1YzzMjeX-mk,2020-04-05T21:37:18+00:00
_OqpE2EnE7s,2020-04-05T21:37:29+00:00
duEsYAXlJ3w,2020-04-05T21:37:38+00:00
6GW4WBx3uc8,2020-04-05T21:37:46+00:00
NxLgv3xnm8M,2020-04-05T21:37:54+00:00
2NXUCatascc,2020-04-05T21:38:04+00:00
GbJjT5q48C8,2020-04-05T21:38:12+00:00
OGABvfXE_R0,2020-04-05T21:38:27+00:00
gkdPzk1l1OI,2020-04-05T21:38:34+00:00
rCJzNW7amgU,2020-04-05T21:38:45+00:00
EUavhWg1KvU,2020-04-05T21:39:00+00:00
_Cr_gOwY8L4,2020-04-05T21:39:08+00:00
cM0CocHRDn8,2020-04-05T21:39:20+00:00
qOHN2-0x0Bs,2020-04-05T21:39:28+00:00
4ECa-FhMboo,2020-04-05T21:39:33+00:00
ZDBXzC3faAU,2020-04-05T21:39:42+00:00
CEzu2fTHD60,2020-04-05T21:39:49+00:00
5ZPHQK1rxDM,2020-04-05T21:40:02+00:00
HIRfsr9Mtsc,2020-04-05T21:40:12+00:00
DOaiegFgEhc,2020-04-05T21:40:20+00:00
sudB0tYqcdo,2020-04-05T21:56:55+00:00
xPRniezbJOU,2020-04-05T21:57:06+00:00
J0KPH2WqpNA,2020-04-05T21:57:14+00:00
AYUEmgb8fjc,2020-04-05T21:57:21+00:00
S2gDfDWu9SA,2020-04-05T21:57:28+00:00
HN23zIehs_M,2020-04-05T21:57:39+00:00
rwN2IQfLLhQ,2020-04-05T21:57:46+00:00
WmnIUaPDTgk,2020-04-05T21:57:58+00:00
ZEeIMtVWn0E,2020-04-05T21:58:05+00:00
Q5NlkhoqujI,2020-04-05T21:58:16+00:00
m5h8iIduauI,2020-04-05T21:58:27+00:00
DMvua_MsLz4,2020-04-05T21:58:37+00:00
