Video ID,Playlist Video Creation Timestamp
uzqCty38C08,2020-04-16T22:40:27+00:00
YYpsz2eAKOs,2020-04-26T18:17:58+00:00
ajMqhpCBPAY,2020-05-02T12:00:27+00:00
goH1V_q4q9k,2021-02-22T20:16:39+00:00
rQShh_77bDo,2021-02-23T18:21:35+00:00
ToFNOYEPenA,2021-06-17T19:09:54+00:00
GXAxZ_a6SO0,2021-07-17T02:12:50+00:00
fZ6bli9Xir4,2021-08-12T22:01:33+00:00
bA-DReZYftg,2021-11-30T18:56:56+00:00
NaRBvsdfgBU,2021-12-03T14:47:07+00:00
_x5xKxXxAK0,2022-07-05T01:25:05+00:00
PXW7Tw7mEMI,2022-08-19T13:45:36+00:00
rHWDrCGSQhU,2022-08-28T04:05:38+00:00
j77_PqV47kk,2023-01-22T19:28:21+00:00
iIkCXF9Y4ow,2023-03-05T23:12:19+00:00
MDUeO4lRhu4,2025-11-16T05:44:24+00:00





