Channel Id,Channel Url,Channel Title
UC-2JUs_G21BrJ0efehwGkUw,http://www.youtube.com/channel/UC-2JUs_G21BrJ0efehwGkUw,Scary Pockets
UC-2XD3qNfv5jn54MtJijVsg,http://www.youtube.com/channel/UC-2XD3qNfv5jn54MtJijVsg,Umar Naqshbandi
UC-RA5BzE_BnZhf5iVdNF1hA,http://www.youtube.com/channel/UC-RA5BzE_BnZhf5iVdNF1hA,loopop
UC-T_5OwUPKZBG4avG6JTwhA,http://www.youtube.com/channel/UC-T_5OwUPKZBG4avG6JTwhA,ZJ Michaels
UC-UxrFrCVL148dludH9g56g,http://www.youtube.com/channel/UC-UxrFrCVL148dludH9g56g,Wolfgang's Funk & Reggae
UC-W8Qu2Zb407kjVhW-5U-SA,http://www.youtube.com/channel/UC-W8Qu2Zb407kjVhW-5U-SA,SmartLess
UC-hzdDzHuWalEF7-rG8LrNw,http://www.youtube.com/channel/UC-hzdDzHuWalEF7-rG8LrNw,genuinelyfunnynazi
UC-oSaKCCEffJph0F7m6_xfA,http://www.youtube.com/channel/UC-oSaKCCEffJph0F7m6_xfA,intheblues
UC-smeLB9AnOTeypr1YyjJ3A,http://www.youtube.com/channel/UC-smeLB9AnOTeypr1YyjJ3A,ARTE Concert
UC0QwGb6erlvTQE_bFbrGmKw,http://www.youtube.com/channel/UC0QwGb6erlvTQE_bFbrGmKw,You Can't Unhear This
UC0ivyYvmGw-R-YWquYxhntA,http://www.youtube.com/channel/UC0ivyYvmGw-R-YWquYxhntA,Daniel Thourot
UC0vY16BCeJBfFxC8WjIkXpQ,http://www.youtube.com/channel/UC0vY16BCeJBfFxC8WjIkXpQ,Steve Westman
UC1kdsZUTDSW1BtsHEoYx4WQ,http://www.youtube.com/channel/UC1kdsZUTDSW1BtsHEoYx4WQ,Sweetwater
UC1pv_b3uXJ0ADdzU4kwVd1Q,http://www.youtube.com/channel/UC1pv_b3uXJ0ADdzU4kwVd1Q,The Big Negative - Photography Channel 
UC21BwBKSKiPFbNvzl3-eh_A,http://www.youtube.com/channel/UC21BwBKSKiPFbNvzl3-eh_A,MusicTechHelpGuy
UC23xW9iC-ADQBLABJ9uIZww,http://www.youtube.com/channel/UC23xW9iC-ADQBLABJ9uIZww,MusicRadar Tech
UC26Dgi2BrrCK-CFPXdAPqow,http://www.youtube.com/channel/UC26Dgi2BrrCK-CFPXdAPqow,Scott Schaus
UC2hwwXiVc9v3F_U-kGQGcUw,http://www.youtube.com/channel/UC2hwwXiVc9v3F_U-kGQGcUw,Mercedes-Benz Canada
UC2pn4FHmt3Td-A2kkhcYAqg,http://www.youtube.com/channel/UC2pn4FHmt3Td-A2kkhcYAqg,Global Mind Apparel
UC3-bPR5iWTDtmic9zPgK6Nw,http://www.youtube.com/channel/UC3-bPR5iWTDtmic9zPgK6Nw,Creating Music and Sound
UC32f6-lGeawQyUvWhId8Ssw,http://www.youtube.com/channel/UC32f6-lGeawQyUvWhId8Ssw,AlainHubert
UC3DZY3yokLDP_rQSIS9tYOg,http://www.youtube.com/channel/UC3DZY3yokLDP_rQSIS9tYOg,Joseph Blake Photography
UC3I2GFN_F8WudD_2jUZbojA,http://www.youtube.com/channel/UC3I2GFN_F8WudD_2jUZbojA,KEXP
UC3ZR8kjzs1pf6aH_SMiT3Pw,http://www.youtube.com/channel/UC3ZR8kjzs1pf6aH_SMiT3Pw,Moog Music
UC3iaHWGSLBWaP_Wkppysb2Q,http://www.youtube.com/channel/UC3iaHWGSLBWaP_Wkppysb2Q,Democratic Party of Wisconsin
UC4OAAbxtB6QEKaTDb-SEe-Q,http://www.youtube.com/channel/UC4OAAbxtB6QEKaTDb-SEe-Q,Ricky Tinez
UC4eYXhJI4-7wSWc8UNRwD4A,http://www.youtube.com/channel/UC4eYXhJI4-7wSWc8UNRwD4A,NPR Music
UC51BUEz6FaaobTWSWJeH-tQ,http://www.youtube.com/channel/UC51BUEz6FaaobTWSWJeH-tQ,Muriel Grossmann
UC56yz5_953StkxbHLETuZDA,http://www.youtube.com/channel/UC56yz5_953StkxbHLETuZDA,Jim Alfredson
UC5Dgfqb8_N9OSa-3uCNiixA,http://www.youtube.com/channel/UC5Dgfqb8_N9OSa-3uCNiixA,Ivory Emperor - The James Booker Archive
UC5Gb9pWYSfcpEdTb6vf9Dbg,http://www.youtube.com/channel/UC5Gb9pWYSfcpEdTb6vf9Dbg,Zarna Garg
UC5ZEIQ-owq_WnnzsJUd3_BA,http://www.youtube.com/channel/UC5ZEIQ-owq_WnnzsJUd3_BA,Andri Søren
UC6DVbxL9UiLPRSiyUZ5D3Cg,http://www.youtube.com/channel/UC6DVbxL9UiLPRSiyUZ5D3Cg,LNA Does Audio Stuff
UC6ZFN9Tx6xh-skXCuRHCDpQ,http://www.youtube.com/channel/UC6ZFN9Tx6xh-skXCuRHCDpQ,PBS NewsHour
UC6ihEVZCc97RfvrzDaXoAHg,http://www.youtube.com/channel/UC6ihEVZCc97RfvrzDaXoAHg,Bonners Music: Pianos & Keyboards
UC6jC6rHgoPN8SRUCHJe1-lw,http://www.youtube.com/channel/UC6jC6rHgoPN8SRUCHJe1-lw,The Daily Mash
UC78NfBf28AQe3x7-SbbMC2A,http://www.youtube.com/channel/UC78NfBf28AQe3x7-SbbMC2A,U.S. Court of Appeals for the Federal Circuit
UC7McHNOsrUL2fRxTB_xvgRQ,http://www.youtube.com/channel/UC7McHNOsrUL2fRxTB_xvgRQ,Johnny Carson
UC7XRmbTK8qsW_igJ_DfOhVQ,http://www.youtube.com/channel/UC7XRmbTK8qsW_igJ_DfOhVQ,Dylan Goldby
UC7m9SEbWE8Zs0KC17ppQ9-Q,http://www.youtube.com/channel/UC7m9SEbWE8Zs0KC17ppQ9-Q,Gia Margaret
UC8HJ9U4X2bWwZ2hp0bxWp_g,http://www.youtube.com/channel/UC8HJ9U4X2bWwZ2hp0bxWp_g,Led Zeppelin Archives
UC8m6LIy6TAPrOAdcAbhzQ8g,http://www.youtube.com/channel/UC8m6LIy6TAPrOAdcAbhzQ8g,Mobile Fidelity Sound Lab
UC93DXO3qw_ywxFwzXyiOBmQ,http://www.youtube.com/channel/UC93DXO3qw_ywxFwzXyiOBmQ,Total Environment Music Foundation
UC9xnc0_xfpq-BenyBJMyKJA,http://www.youtube.com/channel/UC9xnc0_xfpq-BenyBJMyKJA,Sean Martinelli
UC9zRO0zF3r8vpa_RL80OqDQ,http://www.youtube.com/channel/UC9zRO0zF3r8vpa_RL80OqDQ,Oberheim Official
UCA33Nw-fSCPuFeBFLibChvg,http://www.youtube.com/channel/UCA33Nw-fSCPuFeBFLibChvg,Ethan Davis
UCAIfWsWcFwncQv_ETAOL-Eg,http://www.youtube.com/channel/UCAIfWsWcFwncQv_ETAOL-Eg,Parlogram
UCAMR64jzvyg7lqTXIsNH-Mw,http://www.youtube.com/channel/UCAMR64jzvyg7lqTXIsNH-Mw,Hyperspace Stories
UCAa4GphIbgerUIEbdvKBVVg,http://www.youtube.com/channel/UCAa4GphIbgerUIEbdvKBVVg,OTOMACHINES
UCAlTDckOOQ2jREOvuCShGbw,http://www.youtube.com/channel/UCAlTDckOOQ2jREOvuCShGbw,Bob Marley
UCAuUUnT6oDeKwE6v1NGQxug,http://www.youtube.com/channel/UCAuUUnT6oDeKwE6v1NGQxug,TED
UCB0ABGbdSggBXLF0UdN4d5A,http://www.youtube.com/channel/UCB0ABGbdSggBXLF0UdN4d5A,The Muppets
UCBD5sJsQ4GGKlqydRHXdwYA,http://www.youtube.com/channel/UCBD5sJsQ4GGKlqydRHXdwYA,Kieran Hayes Photography
UCBXWuHtNIyfDPJVr-Jsu3kA,http://www.youtube.com/channel/UCBXWuHtNIyfDPJVr-Jsu3kA,Jason Roberts Video
UCB_Z6rBg3WW3NL4-QimhC2A,http://www.youtube.com/channel/UCB_Z6rBg3WW3NL4-QimhC2A,The Rolling Stones
UCBgX7mBIBtEunDOZIq3HAVw,http://www.youtube.com/channel/UCBgX7mBIBtEunDOZIq3HAVw,Paul Reid Photography
